ik;Number of different words
165300;11459
165400;11460
165500;11460
165600;11460
165700;11462
165800;11463
165900;11464
166000;11471
166100;11472
166200;11473
166300;11474
166400;11476
166500;11482
166600;11483
166700;11485
166800;11492
166900;11501
167000;11503
167100;11503
167200;11506
167300;11506
167400;11506
167500;11506
167600;11507
167700;11508
167800;11510
167900;11510
168000;11512
168100;11512
168200;11513
168300;11515
168400;11518
168500;11520
168600;11520
168700;11523
168800;11525
168900;11525
169000;11526
169100;11527
169200;11528
169300;11530
169400;11535
169500;11537
169600;11540
169700;11545
169800;11555
169900;11563
170000;11568
170100;11577
170200;11583
170300;11585
170400;11587
170500;11592
170600;11597
170700;11601
170800;11605
170900;11614
171000;11623
171100;11628
171200;11634
171300;11638
171400;11643
171500;11644
171600;11645
171700;11649
171800;11651
171900;11653
172000;11657
172100;11662
172200;11670
172300;11674
172400;11675
172500;11677
172600;11681
172700;11684
172800;11685
172900;11688
173000;11688
173100;11689
173200;11691
173300;11691
173400;11694
173500;11695
173600;11695
173700;11696
173800;11696
173900;11697
174000;11698
174100;11701
174200;11702
174300;11705
174400;11710
174500;11713
174600;11713
174700;11715
174800;11720
174900;11722
175000;11726
175100;11726
175200;11727
175300;11730
175400;11730
175500;11730
175600;11730
175700;11731
175800;11732
175900;11735
176000;11736
176100;11738
176200;11738
176300;11739
176400;11740
176500;11741
176600;11741
176700;11741
176800;11743
176900;11743
177000;11745
177100;11747
177200;11750
177300;11751
177400;11751
177500;11753
177600;11756
177700;11758
177800;11759
177900;11764
178000;11769
178100;11773
178200;11778
178300;11780
178400;11785
178500;11790
178600;11794
178700;11799
178800;11800
178900;11800
179000;11802
179100;11804
179200;11806
179300;11812
179400;11815
179500;11816
179600;11817
179700;11819
179800;11821
179900;11825
180000;11825
180100;11826
180200;11829
180300;11837
180400;11844
180500;11846
180600;11849
180700;11850
180800;11856
180900;11857
181000;11862
181100;11863
181200;11866
181300;11868
181400;11870
181500;11870
181600;11874
181700;11882
181800;11884
181900;11885
182000;11886
182100;11888
182200;11889
182300;11889
182400;11890
182500;11890
182600;11890
182700;11893
182800;11896
182900;11897
183000;11897
183100;11898
183200;11899
183300;11902
183400;11907
183500;11911
183600;11913
183700;11915
183800;11915
183900;11915
184000;11919
184100;11920
184200;11920
184300;11920
184400;11920
184500;11924
184600;11925
184700;11925
184800;11926
184900;11928
185000;11931
185100;11931
185200;11932
185300;11933
185400;11933
185500;11933
185600;11933
185700;11933
185800;11933
185900;11933
186000;11935
186100;11936
186200;11936
186300;11936
186400;11937
186500;11938
186600;11942
186700;11942
186800;11944
186900;11947
187000;11949
187100;11950
187200;11951
187300;11954
187400;11962
187500;11962
187600;11968
187700;11969
187800;11969
187900;11973
188000;11976
188100;11980
188200;11980
188300;11982
188400;11983
188500;11985
188600;11985
188700;11987
188800;11987
188900;11990
189000;11991
189100;11991
189200;11992
189300;11993
189400;11994
189500;11996
189600;11998
189700;12002
189800;12002
189900;12003
190000;12007
190100;12012
190200;12016
190300;12016
190400;12018
190500;12020
190600;12020
190700;12023
190800;12025
190900;12031
191000;12033
191100;12035
191200;12036
191300;12042
191400;12042
191500;12043
191600;12044
191700;12045
191800;12046
191900;12047
192000;12048
192100;12049
192200;12053
192300;12053
192400;12054
192500;12055
192600;12055
192700;12055
192800;12055
192900;12056
193000;12057
193100;12061
193200;12068
193300;12070
193400;12074
193500;12077
193600;12078
193700;12084
193800;12090
193900;12091
194000;12091
194100;12096
194200;12097
194300;12098
194400;12099
194500;12101
194600;12104
194700;12107
194800;12113
194900;12114
195000;12114
195100;12115
195200;12116
195300;12120
195400;12125
195500;12126
195600;12129
195700;12131
195800;12131
195900;12133
196000;12133
196100;12133
196200;12133
196300;12135
196400;12138
196500;12140
196600;12146
196700;12150
196800;12150
196900;12150
197000;12152
197100;12154
197200;12155
197300;12156
197400;12157
197500;12157
197600;12157
197700;12157
197800;12157
197900;12158
198000;12158
198100;12159
198200;12164
198300;12168
198400;12170
198500;12173
198600;12174
198700;12176
198800;12176
198900;12177
199000;12177
199100;12182
199200;12191
199300;12197
199400;12198
199500;12198
199600;12199
199700;12200
199800;12201
199900;12203
200000;12203
200100;12203
200200;12204
200300;12206
200400;12207
200500;12207
200600;12208
200700;12209
200800;12210
200900;12212
201000;12213
201100;12213
201200;12213
201300;12213
201400;12213
201500;12213
201600;12213
201700;12213
201800;12213
201900;12214
202000;12214
202100;12214
202200;12214
202300;12215
202400;12215
202500;12216
202600;12217
202700;12217
202800;12217
202900;12218
203000;12218
203100;12220
203200;12220
203300;12220
203400;12222
203500;12222
203600;12222
203700;12223
203800;12223
203900;12224
204000;12224
204100;12224
204200;12224
204300;12224
204400;12225
204500;12226
204600;12228
204700;12228
204800;12229
204900;12229
205000;12229
205100;12229
205200;12230
205300;12232
205400;12232
205500;12232
205600;12232
205700;12232
205800;12232
205900;12232
206000;12233
206100;12233
206200;12233
206300;12234
206400;12234
206500;12236
206600;12236
206700;12236
206800;12236
206900;12238
207000;12238
207100;12239
207200;12241
207300;12241
207400;12242
207500;12242
207600;12243
207700;12249
207800;12250
207900;12254
208000;12254
208100;12254
208200;12258
208300;12262
208400;12266
208500;12266
208600;12267
208700;12274
208800;12277
208900;12278
209000;12280
209100;12280
209200;12282
209300;12284
209400;12284
209500;12285
209600;12285
209700;12286
209800;12289
209900;12291
210000;12292
210100;12297
210200;12314
210300;12330
210400;12343
210500;12359
210600;12367
210700;12380
210800;12394
210900;12402
211000;12414
211100;12425
211200;12435
211300;12438
211400;12445
211500;12450
211600;12455
211700;12465
211800;12469
211900;12471
212000;12478
212100;12486
212200;12492
212300;12496
212400;12499
212500;12509
212600;12511
212700;12516
212800;12521
212900;12526
213000;12530
213100;12532
213200;12535
213300;12538
213400;12543
213500;12546
213600;12546
213700;12549
213800;12554
213900;12556
214000;12562
214100;12564
214200;12568
214300;12570
214400;12574
214500;12576
214600;12578
214700;12579
214800;12579
214900;12579
215000;12579
215100;12580
215200;12580
215300;12580
215400;12580
215500;12580
215600;12580
215700;12580
215800;12581
215900;12581
216000;12581
216100;12581
216200;12581
216300;12582
216400;12582
216500;12582
216600;12583
216700;12583
216800;12583
216900;12583
217000;12583
217100;12583
217200;12583
217300;12583
217400;12583
217500;12583
217600;12594
217700;12625
217800;12644
217900;12665
218000;12683
218100;12698
218200;12712
218300;12722
218400;12729
218500;12738
218600;12743
218700;12754
218800;12779
218900;12795
219000;12802
219100;12817
219200;12837
219300;12846
219400;12857
219500;12861
219600;12869
219700;12872
219800;12882
219900;12898
220000;12902
220100;12906
220200;12918
220300;12926
220400;12929
220500;12934
220600;12938
220700;12944
220800;12961
220900;12984
221000;13000
221100;13015
221200;13023
221300;13034
221400;13047
221500;13053
221600;13060
221700;13068
221800;13074
221900;13084
222000;13097
222100;13108
222200;13120
222300;13130
222400;13147
222500;13153
222600;13165
222700;13172
222800;13187
222900;13195
223000;13201
223100;13205
223200;13219
223300;13228
223400;13236
223500;13240
223600;13247
223700;13258
223800;13270
223900;13274
224000;13281
224100;13286
224200;13295
224300;13303
224400;13308
224500;13310
224600;13317
224700;13327
224800;13336
224900;13344
225000;13350
225100;13358
225200;13364
225300;13368
225400;13371
225500;13379
225600;13384
225700;13391
225800;13401
225900;13404
226000;13409
226100;13412
226200;13421
226300;13427
226400;13433
226500;13443
226600;13454
226700;13461
226800;13477
226900;13484
227000;13503
227100;13514
227200;13524
227300;13534
227400;13543
227500;13551
227600;13557
227700;13560
227800;13572
227900;13584
228000;13589
228100;13596
228200;13605
228300;13616
228400;13630
228500;13646
228600;13655
228700;13658
228800;13670
228900;13677
229000;13682
229100;13691
229200;13696
229300;13701
229400;13702
229500;13702
229600;13704
229700;13710
229800;13717
229900;13720
230000;13721
230100;13727
230200;13732
230300;13735
230400;13740
230500;13744
230600;13752
230700;13770
230800;13779
230900;13785
231000;13785
231100;13791
231200;13799
231300;13806
231400;13813
231500;13814
231600;13816
231700;13820
231800;13832
231900;13855
232000;13861
232100;13874
232200;13878
232300;13885
232400;13899
232500;13910
232600;13927
232700;13949
232800;13960
232900;13979
233000;13995
233100;14011
233200;14018
